ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,customer_acquisition_cohort,acquisition_quartile,product_prefix,deal_complexity_score_x,deal_complexity_score_y,total_sales,order_count,clv_b2b,territory_performance_index,customer_value_score,customer_tier
10121,34,81.35,5,2765.9,2003-05-07,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small,10121,Growth,S1,5,5,135042.94,41,71024.02463976944,1.0,0.07987576822974221,Bronze
10134,41,94.74,2,3884.34,2003-07-01,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,10134,Growth,S1,7,7,78570.34,20,45811.77971246006,1.0,0.042184142256092155,Bronze
10180,29,86.13,9,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small,10180,Scale,S1,14,14,69052.41,20,244700.2878640777,1.0,0.047883188318364044,Bronze
10188,48,100.0,1,5512.32,2003-11-18,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,10181,Scale,S1,8,8,111640.28,29,137201.01750841748,1.0,0.06343619416528738,Bronze
10211,41,100.0,14,4708.44,2004-01-15,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,10211,Recent,S1,15,15,93170.66,27,75740.06881959911,1.0,0.054664607831659315,Bronze
10223,37,100.0,1,3965.66,2004-02-20,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,10120,Growth,S1,15,15,200995.41,55,126270.78253012049,0.14445278660885533,0.11271325808083006,Bronze
10275,45,92.83,1,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,10275,Recent,S1,18,18,180124.9,53,210049.803514377,1.0,0.1091008571092068,Bronze
10299,23,100.0,9,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,10155,Scale,S1,11,11,111250.38,30,82365.9,1.0,0.06236245706238509,Bronze
10309,41,100.0,5,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,10103,Early,S1,6,6,116599.19,32,65778.52295208655,1.0,0.06520234066938801,Bronze
10341,41,100.0,9,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large,10119,Growth,S1,10,10,149798.63,40,72804.92669773634,1.0,0.08202203553143256,Bronze
